Number,Type,Name,Registration Point,Filename
1,shockwave3d,blank3D,"(160, 120)",
2,bitmap,plainTile,"(64, 64)",
3,bitmap,triggerTile,"(64, 64)",
4,bitmap,falling_tile,"(64, 64)",
5,bitmap,redTile,"(64, 64)",
6,bitmap,die_1,"(64, 63)",
7,bitmap,die_2,"(64, 63)",
8,bitmap,die_3,"(64, 63)",
9,bitmap,die_4,"(64, 63)",
10,bitmap,die_5,"(64, 63)",
11,bitmap,die_6,"(64, 63)",
12,bitmap,white_img,"(0, 0)",
13,bitmap,menu_instructions_texture,"(256, 256)",
14,bitmap,menu_options_texture,"(256, 256)",
15,bitmap,coin_5,"(32, 32)",
16,bitmap,coin_10,"(32, 32)",
17,bitmap,coin_25,"(32, 32)",
18,bitmap,plainTilex,"(64, 64)",
19,bitmap,triggerTilex,"(64, 64)",
20,bitmap,floormap,"(64, 64)",
21,bitmap,redTilex,"(32, 32)",
22,bitmap,wood,"(64, 64)",
23,bitmap,goal_tile,"(64, 64)",
24,bitmap,falling_tilex,"(64, 64)",
25,bitmap,coin_5x,"(32, 32)",
26,bitmap,coin_10x,"(32, 32)",
27,bitmap,coin_25x,"(32, 32)",
