Number,Type,Name,Registration Point,Filename
1,script,README FIRST,"(0, 0)",
2,script,Main Movie Scripts,"(0, 0)",
3,script,setup menu,"(0, 0)",
4,script,frame loop,"(0, 0)",
5,script,frame 1 behavior,"(0, 0)",
6,script,check loaded 3D,"(0, 0)",
7,script,check 3d status,"(0, 0)",
8,script,game frame loop,"(0, 0)",
9,script,GameClass,"(0, 0)",
10,script,ScoreboardClass,"(0, 0)",
11,script,SpinCameraClass,"(0, 0)",
12,script,CameraClass,"(0, 0)",
13,script,PlayerClass,"(0, 0)",
14,script,TimerClass,"(0, 0)",
15,script,PrompInput,"(0, 0)",
16,script,Tile3D,"(0, 0)",
17,script,PlainTile3D,"(0, 0)",
18,script,SpikeTile3D,"(0, 0)",
19,script,GoalTile3D,"(0, 0)",
20,script,SwitchTile3D,"(0, 0)",
21,script,DeathTile3D,"(0, 0)",
22,script,FallingTile3D,"(0, 0)",
23,script,WarpTile3D,"(0, 0)",
24,script,Coin3DClass,"(0, 0)",
25,script,MenuClass,"(0, 0)",
26,script,PromptClass,"(0, 0)",
27,script,Alert,"(0, 0)",
28,flash,,"(0, 0)",http://images50.neopets.com/games/preloaders/ml_krawk_island.swf
29,script,clean up script,"(0, 0)",
30,script,set the camera,"(0, 0)",
31,script,goNextRound,"(0, 0)",
32,script,call StepFrame,"(0, 0)",
33,script,returns a text image with drop shadow,"(0, 0)",
34,script,mouse up script for menu,"(0, 0)",
35,script,scoreboard mouse up script,"(0, 0)",
36,script,returns a text image with button behind,"(0, 0)",
37,script,gameover mouseUp script,"(0, 0)",
38,script,call sendscore,"(0, 0)",
39,script,frame 1,"(0, 0)",
40,script,generic frame loop,"(0, 0)",
41,shape,send_art,"(0, 0)",
42,script,,"(0, 0)",
43,script,,"(0, 0)",
44,text,debug_txt,"(0, 0)",
45,button,,"(0, 0)",
46,text,restart_txt,"(0, 0)",
47,text,gameover_txt,"(0, 0)",
48,script,,"(0, 0)",
49,text,,"(0, 0)",
50,text,sendscore_txt,"(0, 0)",
51,script,restartbuttoncode,"(0, 0)",
52,script,test_send_score,"(0, 0)",
53,flash,,"(0, 0)",http://images50.neopets.com/games/preloaders/ml_meridell.swf
54,shape,,"(0, 0)",
55,script,check cheats,"(0, 0)",
